record_id,timestamp_ns,timestamp_sec,world_frame,lidar_tx,lidar_ty,lidar_tz,lidar_qx,lidar_qy,lidar_qz,lidar_qw
20466,1788255628597999616,1788255628.597999573,odom,-20.974122094820,-2.197839420140,-0.089489345263,0.002841710181,-0.008237456720,-0.768270412787,0.640066123011
20467,1788255628697936128,1788255628.697936058,odom,-20.985466967827,-2.200305942284,-0.089484645613,0.002710731172,-0.008378074349,-0.773124858907,0.634192724924
20468,1788255628797022208,1788255628.797022104,odom,-20.996838373707,-2.201971085960,-0.089932136206,0.002711563379,-0.008298974835,-0.778500460063,0.627583307715
20469,1788255628897093376,1788255628.897093296,odom,-21.007658739906,-2.204991898234,-0.089017832040,0.002552067928,-0.008200161781,-0.783094700298,0.621843175296
20470,1788255628995855360,1788255628.995855331,odom,-21.008597918541,-2.207028601051,-0.089110613643,0.002710543360,-0.008288223166,-0.783062317070,0.621882115755
20471,1788255629096012288,1788255629.096012354,odom,-21.000103333085,-2.206290780302,-0.088086392424,0.002483962444,-0.008185069303,-0.779763340828,0.626015947778
20472,1788255629197755136,1788255629.197755098,odom,-20.993508911120,-2.209275534133,-0.088379885994,0.002658252293,-0.008353364360,-0.777097962518,0.629318609012
20473,1788255629297686784,1788255629.297686815,odom,-20.990236685929,-2.217627040625,-0.088902102893,0.002919793067,-0.008341800570,-0.774602563750,0.632386556944
20474,1788255629396874496,1788255629.396874428,odom,-20.982501486375,-2.229436563280,-0.088003436774,0.002784913019,-0.008205699966,-0.770136230076,0.637820584390
20475,1788255629497968128,1788255629.497968197,odom,-20.971361292640,-2.246553521317,-0.088274168300,0.002722724578,-0.008271549519,-0.763321369912,0.645960257659
20476,1788255629597889024,1788255629.597888947,odom,-20.959844421704,-2.270464307286,-0.086692762508,0.002575613478,-0.007887955064,-0.756316779460,0.654152945027
20477,1788255629696966400,1788255629.696966410,odom,-20.952512917809,-2.299145459161,-0.087422536114,0.002658666028,-0.007731940882,-0.751702100555,0.659452121542
20478,1788255629797827840,1788255629.797827959,odom,-20.946620384180,-2.324092087341,-0.087072548031,0.002882528457,-0.008035706154,-0.746848139438,0.664939828161
20479,1788255629896080384,1788255629.896080494,odom,-20.935012679799,-2.344010460073,-0.086697618638,0.002838511525,-0.008145331578,-0.739911987211,0.672648383338
20480,1788255629997781504,1788255629.997781515,odom,-20.915107251319,-2.362078154831,-0.086997323024,0.002703646323,-0.007811617550,-0.729107273762,0.684349510320
20481,1788255630098006016,1788255630.098006010,odom,-20.889723415388,-2.372662819982,-0.087064031935,0.002610612058,-0.007629858485,-0.716689970920,0.697345291478
20482,1788255630196989440,1788255630.196989536,odom,-20.868407557824,-2.375279029000,-0.086075475287,0.002357658220,-0.007691699399,-0.705546106991,0.708618352936
20483,1788255630296870400,1788255630.296870470,odom,-20.853892752944,-2.375041308153,-0.085572513723,0.002194665606,-0.007829075744,-0.697771916430,0.716273859398
20484,1788255630396838400,1788255630.396838427,odom,-20.846023617146,-2.375953389264,-0.085101096093,0.002438654415,-0.007679955508,-0.693825745447,0.720097844881
20485,1788255630497896448,1788255630.497896433,odom,-20.842640023758,-2.374847731217,-0.084230033178,0.002351626243,-0.007754722718,-0.692007052054,0.721845256296
20486,1788255630596914176,1788255630.596914053,odom,-20.842542999181,-2.374954073983,-0.083722061199,0.002427834643,-0.007674461800,-0.691802873058,0.722041545261
20487,1788255630697952512,1788255630.697952509,odom,-20.845068362017,-2.376172119147,-0.083929586042,0.002386917668,-0.007889218790,-0.691932574055,0.721915075208
20488,1788255630797031168,1788255630.797031164,odom,-20.845027251140,-2.376035281690,-0.084378787529,0.002406125584,-0.007941574245,-0.691774909791,0.722065520671
20489,1788255630897082112,1788255630.897082090,odom,-20.845532795651,-2.375619931051,-0.084293630209,0.002379441333,-0.007878835183,-0.691875574465,0.721969841249
20490,1788255630997972480,1788255630.997972488,odom,-20.846040376438,-2.375253691410,-0.083963959163,0.002134177470,-0.007830608950,-0.691865377338,0.721980904520
20491,1788255631096436736,1788255631.096436739,odom,-20.845353935826,-2.375782928092,-0.084269530768,0.002328027437,-0.008015508844,-0.691712235178,0.722124999991
20492,1788255631196826624,1788255631.196826696,odom,-20.843431414257,-2.378928457461,-0.084397667862,0.002371793938,-0.008139176526,-0.691294012382,0.722523852093
20493,1788255631297959168,1788255631.297959089,odom,-20.840340490921,-2.386410185085,-0.084317942732,0.002164779583,-0.008104962442,-0.690490037244,0.723293254345
20494,1788255631397085696,1788255631.397085667,odom,-20.838319792775,-2.402063421737,-0.084801683232,0.002409549115,-0.008030306879,-0.689540380463,0.724198710269
20495,1788255631498000128,1788255631.498000145,odom,-20.834954114368,-2.424677381830,-0.084725110910,0.002164187770,-0.008007117770,-0.689722875849,0.724025936612
20496,1788255631596870912,1788255631.596870899,odom,-20.833380883541,-2.454322430906,-0.085119369640,0.002094840442,-0.008107459400,-0.690324289046,0.723451627062
20497,1788255631697070336,1788255631.697070360,odom,-20.831142092029,-2.486836151159,-0.085050776459,0.002074773329,-0.007899028065,-0.690541294414,0.723246860609
20498,1788255631796580608,1788255631.796580553,odom,-20.827446015663,-2.520397087116,-0.084903807027,0.002007192950,-0.007801230362,-0.689922691880,0.723838235527
20499,1788255631897644800,1788255631.897644758,odom,-20.824294988604,-2.556272957562,-0.086404358121,0.001924783886,-0.007630033325,-0.689368683357,0.724367928753
