keyframe_id,timestamp_ns,timestamp_sec,map_frame,lidar_tx,lidar_ty,lidar_tz,lidar_qx,lidar_qy,lidar_qz,lidar_qw,lidar_cloud_file,point_count
161,1788254383997328128,1788254383.997328043,map,-3.4111186137684015,0.6700591443443398,0.044601977453971,0.0022916185236651976,-0.006432175968071035,0.6570006262484014,0.7538591066678615,keyframes_lidar/keyframe_000161.pcd,3233
162,1788254388997426176,1788254388.997426271,map,-3.505452335097826,-0.10116902525799935,0.042326278614921234,0.002397475984079438,-0.0030633423464509982,0.656771682106181,0.7540794557776996,keyframes_lidar/keyframe_000162.pcd,3502
163,1788254393997618944,1788254393.997618914,map,-3.5647732025687953,-0.3104940847787832,0.04144248458050198,0.0029797316611370438,-0.0018971547496969426,0.6827455660425297,0.7306476675199539,keyframes_lidar/keyframe_000163.pcd,3489
164,1788254398796248832,1788254398.796248913,map,-3.615020128799097,-1.3341818901740694,0.04406280587884002,0.0023997265882500004,-0.0005465670268088997,0.7023794436473283,0.7117984684715587,keyframes_lidar/keyframe_000164.pcd,3453
165,1788254403697356800,1788254403.697356701,map,-3.600856632544818,-2.346816965429167,0.045576001408820926,0.009494439205610564,-0.0034030193568248927,0.7122325795599964,0.7018710905121691,keyframes_lidar/keyframe_000165.pcd,3315
166,1788254408697429760,1788254408.697429657,map,-3.567065491679065,-3.303002917767633,0.03713013804573003,0.009467775377222187,-0.00457577315149105,0.7140735094282126,0.6999917475673189,keyframes_lidar/keyframe_000166.pcd,3364
167,1788254413697469696,1788254413.697469711,map,-3.532327686094828,-4.256027229698321,0.0225023031030939,0.005802173702987946,-0.005092285311614675,0.7150293477873455,0.6990518115371913,keyframes_lidar/keyframe_000167.pcd,3462
168,1788254418797396736,1788254418.797396660,map,-3.494645869917557,-5.2280998143262725,0.012849629862854855,0.0035024444206976954,-0.00459569208150523,0.7155199783592264,0.698568373937859,keyframes_lidar/keyframe_000168.pcd,3381
169,1788254423896935168,1788254423.896935225,map,-3.4535020747266225,-6.200410740373047,0.012725056994894207,0.0009975750845441407,-0.0073540105339895,0.7164077558659546,0.6976423515728697,keyframes_lidar/keyframe_000169.pcd,3375
170,1788254428897052416,1788254428.897052526,map,-3.418876562324597,-7.155909744288583,0.0075668520105055745,-0.0033911248393049655,-0.010478309889397606,0.7173438043203195,0.6966323073885085,keyframes_lidar/keyframe_000170.pcd,3472
171,1788254433996951552,1788254433.996951580,map,-3.378048858150963,-8.134111385789126,0.008313965409135399,6.566072866851587e-05,-0.016237466659889715,0.7161378992987726,0.6977699116134766,keyframes_lidar/keyframe_000171.pcd,3339
172,1788254438996976896,1788254438.996976852,map,-3.3289185083597626,-9.089939513810565,-0.0028753776254478447,0.004315755037947143,-0.009671406869856155,0.7156200592226613,0.698409456540907,keyframes_lidar/keyframe_000172.pcd,3483
